,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Kars,TR,284.4,40.602,43.095,Kars Otel
1,Bambous Virieux,MU,295.49,-20.3428,57.7575,Casa Tia Villa
2,Namibe,AO,295.25,-15.1961,12.1522,Hotel Chik Chik Namibe
4,Sept-Iles,CA,280.38,50.2001,-66.3821,Comfort Inn
5,Ilulissat,GL,272.16,69.2167,-51.1,Hotel Arctic
6,Ushuaia,AR,283.96,-54.8,-68.3,Albatross Hotel
7,Ponta Do Sol,PT,297.66,32.6667,-17.1,Hotel do Campo
8,Ribeira Grande,PT,296.37,38.5167,-28.7,Quinta da Meia Eira
9,Pangody,RU,277.01,65.85,74.4859,Elizaveta Shevchuk's House
10,Vardo,NO,283.14,70.3705,31.1107,Vardø Hotel AS
11,Victoria,HK,298.33,22.2855,114.1577,Mini Central
12,Jamestown,US,291.21,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Saint George,US,290.48,37.1041,-113.5841,Best Western Plus Abbey Inn
16,Akdepe,TM,292.37,42.0551,59.3788,
17,Narsaq,GL,276.27,60.9167,-46.05,Sleep In Narsaq
18,Verkhnyaya Toyma,RU,279.7,62.2349,44.9985,Gostinitsa
19,Biograd Na Moru,HR,298.57,43.9433,15.4519,Villa Maimare
20,Clyde River,CA,263.35,70.4692,-68.5914,Qamaq Hotel
22,Kutno,PL,286.54,52.2306,19.3641,Hotel Stacja Kutno
23,Punta Arenas,CL,283.21,-53.15,-70.9167,Hotel Hain
24,Cape Town,ZA,295.52,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
25,Grindavik,IS,279.41,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
26,Hermanus,ZA,294.71,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Colomi,BO,294.16,-17.35,-65.8667,Casa
29,Grand Gaube,MU,295.58,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
30,Porto Santo,PT,297.36,33.072,-16.3415,Hotel Porto Santo & Spa
33,Mahebourg,MU,295.51,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
34,Vangaindrano,MG,295.47,-23.35,47.6,Hotel Fanilo
35,Ampanihy,MG,298.65,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
37,Viedma,AR,295.41,-40.8135,-62.9967,Hotel Cristal
38,Zaragoza,ES,296.49,41.6561,-0.8773,Hotel Goya
39,Hithadhoo,MV,299.69,-0.6,73.0833,Scoop Guest House
40,Dikson,RU,273.33,73.5069,80.5464,
41,Port Elizabeth,ZA,294.87,-33.918,25.5701,39 On Nile Guest House
42,Kamenka,RU,282.44,51.3223,42.7678,
43,Forestville,US,293.4,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
45,Tandil,AR,291.86,-37.3217,-59.1332,Hostal de la Sierra Tandil
47,Busselton,AU,284.36,-33.65,115.3333,Observatory Guest House
48,Limoges,FR,290.75,45.75,1.3333,La Gratade
50,Ostrovnoy,RU,280.55,68.0531,39.5131,
51,Copiapo,CL,286.98,-27.3667,-70.3333,Antay Casino Hotel
