City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Date
0,Kars,TR,40.602,43.095,284.4,284.4,54,20,4.12,2022-10-11 15:06:38
1,Bambous Virieux,MU,-20.3428,57.7575,295.49,295.49,67,5,5.35,2022-10-11 15:07:53
2,Namibe,AO,-15.1961,12.1522,295.25,295.25,76,69,5.55,2022-10-11 15:07:57
3,Henties Bay,NA,-22.116,14.2845,289.87,289.87,83,11,7.06,2022-10-11 15:07:57
4,Sept-Iles,CA,50.2001,-66.3821,280.38,280.38,68,100,8.11,2022-10-11 15:07:58
5,Ilulissat,GL,69.2167,-51.1,272.16,272.16,64,75,1.54,2022-10-11 15:07:58
6,Ushuaia,AR,-54.8,-68.3,283.96,282.94,43,75,4.63,2022-10-11 15:07:59
7,Ponta Do Sol,PT,32.6667,-17.1,297.66,297.5,56,8,1.89,2022-10-11 15:07:59
8,Ribeira Grande,PT,38.5167,-28.7,296.37,296.37,78,20,3.09,2022-10-11 15:07:59
9,Pangody,RU,65.85,74.4859,277.01,277.01,91,100,4.81,2022-10-11 15:08:00
10,Vardo,NO,70.3705,31.1107,283.14,283.14,76,75,11.32,2022-10-11 15:08:00
11,Victoria,HK,22.2855,114.1577,298.33,294.79,60,10,2.24,2022-10-11 15:03:25
12,Jamestown,US,42.097,-79.2353,291.21,288.74,52,0,4.63,2022-10-11 15:06:01
13,Ipira,BR,-12.1583,-39.7372,306.07,306.07,27,52,6.62,2022-10-11 15:08:02
14,Buraydah,SA,26.326,43.975,302.63,302.63,10,0,1.23,2022-10-11 15:08:03
15,Saint George,US,37.1041,-113.5841,290.48,290.48,39,0,2.57,2022-10-11 15:05:23
16,Akdepe,TM,42.0551,59.3788,292.37,292.37,13,26,4.04,2022-10-11 15:08:04
17,Narsaq,GL,60.9167,-46.05,276.27,276.27,75,99,1.19,2022-10-11 15:08:04
18,Verkhnyaya Toyma,RU,62.2349,44.9985,279.7,279.7,91,24,1.82,2022-10-11 15:08:05
19,Biograd Na Moru,HR,43.9433,15.4519,298.57,297.54,59,5,5.52,2022-10-11 15:08:07
20,Clyde River,CA,70.4692,-68.5914,263.35,263.35,85,29,2.94,2022-10-11 15:08:08
21,Camopi,GF,3.1655,-52.3158,306.34,306.34,45,92,1.33,2022-10-11 15:08:10
22,Kutno,PL,52.2306,19.3641,286.54,286.24,49,4,4.37,2022-10-11 15:08:12
23,Punta Arenas,CL,-53.15,-70.9167,283.21,283.16,46,75,10.29,2022-10-11 15:08:13
24,Cape Town,ZA,-33.9258,18.4232,295.52,294.21,63,99,4.02,2022-10-11 15:06:04
25,Grindavik,IS,63.8424,-22.4338,279.41,279.41,100,100,3.6,2022-10-11 15:08:14
26,Hermanus,ZA,-34.4187,19.2345,294.71,294.71,86,88,2.67,2022-10-11 15:08:15
27,Kudahuvadhoo,MV,2.6708,72.8944,300.51,300.51,73,100,9.45,2022-10-11 15:08:16
28,Colomi,BO,-17.35,-65.8667,294.16,292.08,44,5,3.23,2022-10-11 15:08:17
29,Grand Gaube,MU,-20.0064,57.6608,295.58,295.58,66,0,1.79,2022-10-11 15:08:17
30,Porto Santo,PT,33.072,-16.3415,297.36,297.36,57,20,9.26,2022-10-11 15:03:48
31,Kindu,CD,-2.95,25.95,301.72,301.72,58,49,0.33,2022-10-11 15:08:19
32,Touros,BR,-5.1989,-35.4608,303.2,303.2,54,23,9.65,2022-10-11 15:08:19
33,Mahebourg,MU,-20.4081,57.7,295.51,295.51,67,4,5.23,2022-10-11 15:08:20
34,Vangaindrano,MG,-23.35,47.6,295.47,295.47,75,3,4.21,2022-10-11 15:08:21
35,Ampanihy,MG,-24.7,44.75,298.65,298.65,53,4,7.26,2022-10-11 15:08:21
36,Caravelas,BR,-17.7125,-39.2481,301.51,301.51,51,54,4.05,2022-10-11 15:08:23
37,Viedma,AR,-40.8135,-62.9967,295.41,295.41,21,98,7.63,2022-10-11 15:08:23
38,Zaragoza,ES,41.6561,-0.8773,296.49,294.4,64,20,1.03,2022-10-11 15:07:29
39,Hithadhoo,MV,-0.6,73.0833,299.69,299.69,81,100,8.85,2022-10-11 15:08:24
40,Dikson,RU,73.5069,80.5464,273.33,273.33,99,100,3.69,2022-10-11 15:08:25
41,Port Elizabeth,ZA,-33.918,25.5701,294.87,292.21,88,95,7.6,2022-10-11 15:08:25
42,Kamenka,RU,51.3223,42.7678,282.44,282.44,94,100,3.64,2022-10-11 15:08:26
43,Forestville,US,38.8451,-76.875,293.4,288.73,57,0,2.06,2022-10-11 15:08:27
44,Walvis Bay,NA,-22.9575,14.5053,290.98,290.98,64,49,8.9,2022-10-11 15:08:28
45,Tandil,AR,-37.3217,-59.1332,291.86,291.86,30,26,4.55,2022-10-11 15:08:30
46,Kavaratti,IN,10.5669,72.642,300.93,300.93,71,100,3.85,2022-10-11 15:08:31
47,Busselton,AU,-33.65,115.3333,284.36,284.36,68,49,4.24,2022-10-11 15:08:32
48,Limoges,FR,45.75,1.3333,290.75,289.46,94,100,2.57,2022-10-11 15:05:12
49,Arraial Do Cabo,BR,-22.9661,-42.0278,300.07,300.07,74,0,10.29,2022-10-11 15:08:34
50,Ostrovnoy,RU,68.0531,39.5131,280.55,280.55,76,18,7.11,2022-10-11 15:08:35
51,Copiapo,CL,-27.3667,-70.3333,286.98,286.98,25,0,3.06,2022-10-11 15:08:35
52,Mizdah,LY,31.4451,12.9801,305.63,305.63,15,55,4.47,2022-10-11 15:08:36
53,Bardiyah,LY,31.7561,25.0865,296.53,296.53,58,81,4.76,2022-10-11 15:08:37
54,Tasiilaq,GL,65.6145,-37.6368,273.24,273.24,99,100,0.82,2022-10-11 15:08:38
55,Chuy,UY,-33.6971,-53.4616,286.83,286.83,94,100,4.27,2022-10-11 15:08:38
56,Chemnitz,DE,50.6667,12.75,287.41,283.76,56,29,2.35,2022-10-11 15:08:39
57,Sabha,LY,27.0377,14.4283,303.54,303.54,15,19,2.87,2022-10-11 15:08:40
58,Mar Del Plata,AR,-38.0023,-57.5575,291.16,290.3,59,0,5.36,2022-10-11 15:08:41
59,Port Alfred,ZA,-33.5906,26.891,295.47,295.47,64,100,4.47,2022-10-11 15:08:42
60,Georgetown,MY,5.4112,100.3354,301.98,299.79,78,20,0.51,2022-10-11 15:06:32
61,La Solana,ES,38.9442,-3.2381,296.26,296.26,37,82,3.82,2022-10-11 15:08:43
62,Novo Aripuana,BR,-5.1206,-60.3797,303.28,303.28,50,99,1.7,2022-10-11 15:08:44
63,Itapirapua,BR,-15.8233,-50.6133,310.17,310.17,18,97,5.99,2022-10-11 15:08:44
64,Mbigou,GA,-1.9005,11.906,296.28,296.28,85,87,0.5,2022-10-11 15:08:45
65,Corn Island,NI,12.1694,-83.0418,300.66,300.66,79,44,5.0,2022-10-11 15:08:45
66,Marrakesh,MA,31.6315,-8.0083,297.19,297.19,57,75,4.63,2022-10-11 15:05:14
67,Altay,CN,47.8667,88.1167,277.44,277.44,58,20,1.48,2022-10-11 15:08:46
68,Los Llanos De Aridane,ES,28.6585,-17.9182,295.01,294.33,87,75,4.63,2022-10-11 15:08:47
69,Saint-Philippe,RE,-21.3585,55.7679,295.92,292.66,74,22,4.57,2022-10-11 15:08:47
70,Iqaluit,CA,63.7506,-68.5145,268.54,268.54,68,27,4.47,2022-10-11 15:08:48
71,Chapais,CA,49.7834,-74.8492,279.5,279.5,59,100,5.8,2022-10-11 15:08:49
72,Georgiyevka,KZ,43.0369,74.7114,285.17,285.17,32,0,2.0,2022-10-11 15:08:49
73,Goderich,CA,43.7501,-81.7165,289.21,286.99,63,0,5.87,2022-10-11 15:08:50
74,Santa Cruz Cabralia,BR,-16.2781,-39.0247,300.28,300.28,74,40,4.63,2022-10-11 15:08:50
75,Camacha,PT,33.0833,-16.3333,295.83,295.83,57,20,9.26,2022-10-11 15:08:51
76,Tambura,SS,5.6,27.4667,297.01,297.01,88,89,1.84,2022-10-11 15:08:51
77,Vicuna,CL,-30.0319,-70.7081,286.0,286.0,25,0,2.89,2022-10-11 15:08:53
78,La Palma,US,33.8464,-118.0467,294.25,291.7,83,100,1.54,2022-10-11 15:08:54
79,Bonito,BR,-21.1211,-56.4819,296.17,296.17,81,91,1.53,2022-10-11 15:05:50
80,East London,ZA,-33.0153,27.9116,296.67,296.67,49,0,7.72,2022-10-11 15:06:25
81,Maceio,BR,-9.6658,-35.7353,300.84,300.84,57,75,5.14,2022-10-11 15:08:23
82,Oistins,BB,13.0667,-59.5333,301.27,301.27,77,100,8.65,2022-10-11 15:06:00
83,Menongue,AO,-14.6585,17.691,307.74,307.74,8,6,3.96,2022-10-11 15:08:59
84,Pivijay,CO,10.4617,-74.6162,303.37,303.37,66,56,3.05,2022-10-11 15:08:59
85,Pimentel,PE,-6.8367,-79.9342,294.31,294.31,64,0,3.6,2022-10-11 15:09:00
86,Lukaya,UG,-0.1489,31.8748,296.29,296.29,65,86,1.13,2022-10-11 15:09:01
87,Botwood,CA,49.1499,-55.3482,284.21,284.21,48,30,6.3,2022-10-11 15:09:02
88,Paamiut,GL,61.994,-49.6678,274.55,274.55,69,96,2.78,2022-10-11 15:09:02
89,Nawa,IN,27.0167,75.0,299.95,299.95,57,0,3.65,2022-10-11 15:09:03
90,Faya,SA,18.3851,42.4509,295.44,295.44,40,8,2.13,2022-10-11 15:09:04
91,Pushkino,RU,56.0172,37.8667,283.31,283.2,62,52,1.73,2022-10-11 15:07:51
92,Bonthe,SL,7.5264,-12.505,301.66,301.66,73,100,3.69,2022-10-11 15:09:05
93,Nanortalik,GL,60.1432,-45.2371,275.79,275.79,78,97,4.94,2022-10-11 15:09:06
94,Sovetskiy,RU,61.3614,63.5842,279.32,279.32,79,100,4.07,2022-10-11 15:09:06
95,Mehamn,NO,71.0357,27.8492,282.1,281.12,81,79,3.09,2022-10-11 15:09:07
96,Intipuca,SV,13.1969,-88.0544,301.2,301.2,72,92,1.39,2022-10-11 15:09:08
97,Berbera,SO,10.4396,45.0143,303.52,303.52,57,0,4.74,2022-10-11 15:09:09
98,Lagoa,PT,39.05,-27.9833,294.4,294.4,80,1,1.84,2022-10-11 15:09:10
99,Araguacu,BR,-12.9306,-49.8264,311.11,311.11,17,85,5.35,2022-10-11 15:09:11
100,Fredericksburg,US,38.3032,-77.4605,293.72,289.45,57,0,1.54,2022-10-11 15:05:39
101,Valdivia,CL,-39.8142,-73.2459,284.2,284.2,83,100,1.36,2022-10-11 15:09:12
102,Torbay,CA,47.6666,-52.7314,285.14,283.43,62,6,3.58,2022-10-11 15:09:13
103,Bengkulu,ID,-3.8004,102.2655,297.5,297.5,86,93,1.62,2022-10-11 15:09:14
104,Santa Rosa,PH,14.3122,121.1114,301.53,299.32,86,100,1.39,2022-10-11 15:06:42
105,Baijiantan,CN,45.6333,85.1833,284.82,284.82,41,0,2.78,2022-10-11 15:09:15
106,Conceicao Das Alagoas,BR,-19.9147,-48.3883,306.47,306.47,26,94,8.03,2022-10-11 15:04:50
107,La Peca,PE,-5.6111,-78.435,300.44,300.44,50,29,1.36,2022-10-11 15:09:17
108,Dunmore Town,BS,25.5,-76.65,301.27,301.27,75,12,4.93,2022-10-11 15:09:18
109,Bakchar,RU,57.0186,82.0711,279.14,279.14,86,11,3.16,2022-10-11 15:09:21
110,Bredasdorp,ZA,-34.5322,20.0403,294.75,294.75,63,38,5.74,2022-10-11 15:09:23
111,Maarianhamina,AX,60.0973,19.9348,284.07,284.07,66,0,3.09,2022-10-11 15:09:24
112,Fort-Shevchenko,KZ,44.5086,50.263,289.94,289.94,58,90,9.19,2022-10-11 15:09:24
113,Cidreira,BR,-30.1811,-50.2056,291.32,291.32,90,100,4.92,2022-10-11 15:09:25
114,Ancud,CL,-41.8697,-73.8203,281.77,281.77,95,100,7.71,2022-10-11 15:09:26
115,Sorland,NO,67.667,12.6934,281.07,281.07,69,100,14.32,2022-10-11 15:09:27
116,Tsabong,BW,-26.0217,22.401,308.38,308.38,10,60,6.87,2022-10-11 15:09:28
117,Nouadhibou,MR,20.931,-17.0347,297.14,297.14,76,88,9.41,2022-10-11 15:09:31
118,Leh,IN,34.1667,77.5833,281.81,281.81,33,85,1.76,2022-10-11 15:09:32
119,Razdolnoye,RU,43.55,131.9167,279.38,277.38,69,0,1.31,2022-10-11 15:09:33
120,Oksfjord,NO,70.2396,22.3479,282.19,281.25,74,0,3.82,2022-10-11 15:09:34
121,Salalah,OM,17.0151,54.0924,299.2,299.2,83,0,1.54,2022-10-11 15:09:33
122,Riyadh,SA,24.6877,46.7219,306.23,306.23,9,0,1.62,2022-10-11 15:09:35
123,Sao Raimundo Nonato,BR,-9.0153,-42.6994,308.07,308.07,23,10,5.61,2022-10-11 15:06:25
124,Coquimbo,CL,-29.9533,-71.3436,290.0,290.0,63,0,4.63,2022-10-11 15:09:36
125,Malumfashi,NG,11.7853,7.6218,305.54,305.54,28,46,4.47,2022-10-11 15:09:36
126,Waddan,LY,29.1614,16.139,304.33,304.33,17,100,1.35,2022-10-11 15:09:37
127,Rio Gallegos,AR,-51.6226,-69.2181,283.18,283.18,50,75,5.14,2022-10-11 15:09:38
128,Kosice,SK,48.6667,21.3333,290.42,290.0,63,0,4.63,2022-10-11 15:09:40
129,Capaci,IT,38.1711,13.2393,297.4,296.34,57,24,8.23,2022-10-11 15:09:41
130,Souillac,MU,-20.5167,57.5167,294.74,294.74,67,3,4.82,2022-10-11 15:09:44
131,Adrar,MR,20.5022,-10.0711,311.07,311.07,13,99,4.06,2022-10-11 15:09:45
132,Salzkotten,DE,51.6717,8.6009,286.91,286.6,50,0,2.06,2022-10-11 15:09:46
133,Chimbote,PE,-9.0853,-78.5783,291.28,291.28,79,83,3.71,2022-10-11 15:09:46
134,Morondava,MG,-20.2833,44.2833,298.82,298.82,79,0,7.34,2022-10-11 15:07:27
135,Abha,SA,18.2164,42.5053,295.29,295.29,15,40,4.12,2022-10-11 15:09:48
136,Upernavik,GL,72.7868,-56.1549,266.54,266.54,68,100,1.98,2022-10-11 15:09:49
137,Hamilton,US,39.1834,-84.5333,292.91,288.63,57,0,4.63,2022-10-11 15:09:49
138,Iquitos,PE,-3.7481,-73.2472,304.17,304.17,79,0,2.06,2022-10-11 15:05:42
139,Krosno,PL,49.6887,21.7706,287.39,285.08,92,100,1.54,2022-10-11 15:09:50
140,Beira,MZ,-19.8436,34.8389,299.19,299.19,66,0,4.01,2022-10-11 15:04:53
141,Laguna,US,38.421,-121.4238,294.86,284.22,79,0,1.54,2022-10-11 15:09:38
142,Balkhash,KZ,46.844,74.9804,282.96,282.96,47,6,4.05,2022-10-11 15:09:52
